
1.e4d5 (925 1005 10 1000 407 -16000) ,2.e6d5 (-1005 -925 9 2147483647 -718 -16000) ,3.a3e7 (925 1005 8 2147483647 614 -16000) ,4.f6f5 (-1005 -925 8 2147483647 -717 -16000) ,5.e7h4 (925 1005 7 2147483647 718 -16000) ,6.e5e4 (-1005 -925 6 2147483647 -706 -16000) ,7.d3e4 (925 1005 5 2147483647 702 -16000) ,8.f5e4 (-1005 -925 4 2147483647 -809 -16000) ,9.g7g4 (925 1005 4 2147483647 716 -16000) ,10.e4d3 (-1005 -925 4 2147483647 -789 -16000) ,11.h4g3 (925 1005 3 2147483647 800 -16000) ,12.d5d4 (-1005 -925 2 2147483647 -974 -16000) 
,,,,,,,,9.h4g5 (982 1005 4 0 716 982) ,10.e4d3 (-983 -982 1 2147483542 -723 -16000) 
,,,,,,,,9.h4f6 (982 1005 4 0 716 982) ,10.e4d3 (-983 -982 1 2147483542 -736 -16000) 
,,,,,,,,9.h4e7 (982 1005 4 0 716 982) ,10.e4d3 (-983 -982 1 2147483542 -723 -16000) 
,,,,,,,,9.h4d8 (982 1005 4 0 716 982) ,10.e4d3 (-983 -982 1 2147483542 -713 -16000) 
,,,,,,,,9.d2d3 (982 1005 4 0 716 982) ,10.e4d3 (-983 -982 3 2147483647 -706 -16000) ,11.h4g3 (982 983 2 2147483647 619 -16000) 
,,,,,,,,,,11.g7g4 (982 983 2 2147483592 619 781) 
,,,,,,,,,,11.g7h7 (982 983 2 2147483592 619 781) 
,,,,,,,,,,11.h4e7 (982 983 2 0 619 781) 
,,,,,,,,,,11.h4d8 (982 983 2 0 619 781) 
,,,,,,,,,,11.h4g5 (982 983 2 0 619 781) 
,,,,,,,,,,11.g7g5 (982 983 2 0 619 781) 
,,,,,,,,,,11.g7g6 (982 983 2 0 619 781) 
,,,,,,,,,,11.g7a7 (982 983 2 0 619 781) 
,,,,,,,,,,11.g7b7 (982 983 2 0 619 781) 
,,,,,,,,,,11.g7c7 (982 983 2 0 619 781) 
