
,,,,,,,,,,11.c2b2 (1019 1052 6 0 737 1019) ,12.d5d4 (-1020 -1019 5 2147483647 -725 -16000) 
,,,,,,,,,,11.c2b3 (1019 1052 6 0 737 1019) ,12.d5d4 (-1020 -1019 5 2147483647 -729 -16000) 
,,,,,,,,,,11.c2c3 (1019 1052 6 0 737 1019) ,12.f4e4 (-1020 -1019 5 2147483647 -741 -16000) 
,,,,,,,,,,11.d2d3 (1019 1052 6 0 737 1019) ,12.d5d4 (-1020 -1019 5 2147483647 -727 -16000) 
,,,,,,,,,10.d5d4 (-1019 -972 7 994 -740 -1019) ,11.h4g3 (1018 1019 6 2147483647 732 -16000) ,12.e4d5 (-1019 -1018 5 2147483647 -894 -16000) 
,,,,,,,,,,,12.e4f5 (-1019 -1018 5 179 -894 -1020) 
,,,,,,,,,,,12.d4d3 (-1019 -1018 5 15 -894 -1020) 
,,,,,,,,,10.e4f5 (-1019 -972 7 48 -740 -1019) ,11.h4g3 (1018 1019 6 2147483647 749 -16000) ,12.f5e6 (-1019 -1018 5 2147483647 -911 -16000) 
,,,,,,,,,,,12.d5d4 (-1019 -1018 5 527 -911 -1019) 
,,,,,,,,,,,12.f5e4 (-1019 -1018 5 4 -911 -1019) 
,,,,,,,,,,,12.f5f6 (-1019 -1018 5 0 -911 -1019) 
,,,,,,,,,10.e4e5 (-1019 -972 7 4 -740 -1019) ,11.h4g3 (1018 1019 6 2147483647 745 -16000) ,12.e5d4 (-1019 -1018 6 2147483647 -901 -16000) 
,,,,,,,,,,,12.e5f5 (-1019 -1018 6 2147483542 -901 -1024) 
,,,,,,,,,,,12.e5e6 (-1019 -1018 6 122 -901 -1019) 
,,,,,,,,,,,12.e5e4 (-1019 -1018 6 4 -901 -1019) 
,,,,,,,,,,,12.e5f6 (-1019 -1018 6 0 -901 -1019) 
,,,,,,,,,10.e4d4 (-1019 -972 7 1 -740 -1019) ,11.h4g3 (1018 1019 6 2147483647 743 -16000) ,12.d4c5 (-1019 -1018 5 2147483647 -905 -16000) 
,,,,,,,,,,,12.d4c4 (-1019 -1018 5 71 -905 -1026) 
,,,,,,,,,,,12.d4e4 (-1019 -1018 5 4 -905 -1024) 
,,,,,,,,9.h4g3 (1019 1052 8 2147483594 716 1019) ,10.e4d3 (-1020 -1019 7 2147483647 -878 -16000) ,11.g3f4 (1019 1020 6 2147483647 888 -16000) ,12.d5d4 (-1020 -1019 5 2147483647 -900 -16000) 
,,,,,,,,,,11.g7g4 (1019 1020 6 2147483592 888 1005) ,12.TTLower (-1020 -1019 5 -1012 -974 -16000) 
,,,,,,,,,,11.g7h7 (1019 1020 6 2147483592 888 1012) ,12.d3d2 (-1020 -1019 5 2147483647 -976 -16000) 
,,,,,,,,,,11.g3e5 (1019 1020 6 2147483542 888 1012) ,12.d3d2 (-1020 -1019 5 2147483647 -908 -16000) 
,,,,,,,,,,11.g7d7 (1019 1020 6 35 888 1012) ,12.TTLower (-1020 -1019 4 -982 -892 -16000) 
,,,,,,,,,,11.g7f7 (1019 1020 6 15 888 1012) ,12.TTLower (-1020 -1019 4 -982 -898 -16000) 
,,,,,,,,,,11.g3d6 (1019 1020 6 0 888 1012) ,12.d3d2 (-1020 -1019 3 2147483647 -898 -16000) 
,,,,,,,,,,11.g3c7 (1019 1020 6 0 888 1012) ,12.d3d2 (-1020 -1019 3 2147483647 -892 -16000) 
,,,,,,,,,,11.g3b8 (1019 1020 6 0 888 1012) ,12.d3d2 (-1020 -1019 3 2147483647 -870 -16000) 
,,,,,,,,,,11.g3f2 (1019 1020 6 0 888 1012) ,12.d3d2 (-1020 -1019 3 2147483647 -883 -16000) 
,,,,,,,,,,11.g7g5 (1019 1020 6 0 888 1012) ,12.TTLower (-1020 -1019 3 -1012 -870 -16000) 
,,,,,,,,,,11.g7g6 (1019 1020 6 0 888 1012) 
,,,,,,,,,,11.g7a7 (1019 1020 6 0 888 1012) ,12.TTLower (-1020 -1019 3 -982 -899 -16000) 
,,,,,,,,,,11.g7b7 (1019 1020 6 0 888 1012) ,12.TTLower (-1020 -1019 3 -982 -901 -16000) 
,,,,,,,,,,11.g7c7 (1019 1020 6 0 888 1012) ,12.TTLower (-1020 -1019 3 -982 -901 -16000) 
,,,,,,,,,,11.g3h4 (1019 1020 6 0 888 1012) ,12.d3d2 (-1020 -1019 2 2147483597 -880 -16000) 
,,,,,,,,,,11.g7e7 (1019 1020 6 0 888 1012) ,12.TTLower (-1020 -1019 2 -982 -895 -16000) 
,,,,,,,,,,11.g3e1 (1019 1020 6 0 888 1012) ,12.TTLower (-1020 -1019 2 -949 -870 -16000) 
,,,,,,,,,,11.g3h2 (1019 1020 6 0 888 1012) ,12.d3d2 (-1020 -1019 2 2147483597 -864 -16000) 
,,,,,,,,,,11.g7g8 (1019 1020 6 0 888 1012) ,12.d3d2 (-1020 -1019 2 2147483597 -886 -16000) 
,,,,,,,,,,11.b1a1 (1019 1020 6 0 888 1012) ,12.d3d2 (-1020 -1019 2 2147483597 -863 -16000) 
,,,,,,,,,,11.b1c1 (1019 1020 6 0 888 1012) ,12.Null (-1020 -1019 2 -999 -894 -16000) 
,,,,,,,,,,11.b1a2 (1019 1020 6 0 888 1012) ,12.d3d2 (-1020 -1019 2 2147483597 -888 -16000) 
,,,,,,,,,,11.b1b2 (1019 1020 6 0 888 1012) ,12.Null (-1020 -1019 2 -999 -902 -16000) 
,,,,,,,,9.g7g4 (1019 1052 8 2147483592 716 1019) ,10.e4d3 (-1020 -1019 8 2147483647 -789 -16000) ,11.b1c1 (1019 1020 7 2147483647 800 -16000) ,12.d3e2 (-1020 -1019 6 2147483647 -806 -16000) 
,,,,,,,,,,11.h4g3 (1019 1020 7 2147483594 800 1017) ,12.d3d2 (-1020 -1019 6 2147483647 -974 -16000) 
,,,,,,,,,,11.g4g3 (1019 1020 7 2147483592 800 1017) ,12.d3d2 (-1020 -1019 7 2147483647 -964 -16000) 
,,,,,,,,,,11.g4g7 (1019 1020 7 2147483542 800 1017) ,12.d3d2 (-1020 -1019 6 2147483647 -820 -16000) 
,,,,,,,,,,11.h4d8 (1019 1020 7 0 800 1017) ,12.TTLower (-1020 -1019 4 -982 -797 -16000) 
,,,,,,,,,,11.h4f6 (1019 1020 7 0 800 1017) ,12.TTLower (-1020 -1019 4 -916 -824 -16000) 
,,,,,,,,,,11.g4a4 (1019 1020 7 0 800 1017) ,12.TTLower (-1020 -1019 4 -982 -813 -16000) 
,,,,,,,,,,11.g4b4 (1019 1020 7 0 800 1017) ,12.TTLower (-1020 -1019 4 -982 -816 -16000) 
,,,,,,,,,,11.g4c4 (1019 1020 7 0 800 1017) ,12.TTLower (-1020 -1019 2 -275 -820 -16000) 
,,,,,,,,,,11.g4d4 (1019 1020 7 0 800 1017) ,12.d3d4 (-1020 -1019 6 2147483647 -804 -16000) 
,,,,,,,,,,11.g4e4 (1019 1020 7 0 800 1017) ,12.TTLower (-1020 -1019 2 -274 -813 -16000) 
,,,,,,,,,,11.g4f4 (1019 1020 7 0 800 1017) ,12.TTLower (-1020 -1019 4 -985 -810 -16000) 
,,,,,,,,,,11.g4g5 (1019 1020 7 0 800 1017) ,12.TTLower (-1020 -1019 4 -985 -797 -16000) 
,,,,,,,,,,11.g4g6 (1019 1020 7 0 800 1017) ,12.TTLower (-1020 -1019 2 -295 -813 -16000) 
,,,,,,,,,,11.h4e7 (1019 1020 7 0 800 1017) ,12.TTLower (-1020 -1019 4 -891 -812 -16000) 
,,,,,,,,,,11.g4g8 (1019 1020 7 0 800 1017) ,12.TTLower (-1020 -1019 3 -982 -821 -16000) 
,,,,,,,,,,11.b1a1 (1019 1020 7 0 800 1017) ,12.TTLower (-1020 -1019 3 -960 -775 -16000) 
,,,,,,,,,,11.h4g5 (1019 1020 7 0 800 1017) ,12.TTLower (-1020 -1019 3 -980 -805 -16000) 
,,,,,,,,,,11.b1a2 (1019 1020 7 0 800 1017) ,12.TTLower (-1020 -1019 3 -978 -800 -16000) 
,,,,,,,,,,11.b1b2 (1019 1020 7 0 800 1017) ,12.Null (-1020 -1019 3 -999 -814 -16000) 
,,,,,,,,9.g7h7 (1019 1052 8 2147483592 716 1019) ,10.e4d3 (-1020 -1019 7 2147483647 -806 -16000) ,11.h4g3 (1019 1020 6 2147483647 816 -16000) ,12.TTLower (-1020 -1019 5 -971 -976 -16000) 
,,,,,,,,,,11.h7f7 (1019 1020 6 2147483545 816 971) ,12.d3d2 (-1020 -1019 5 2147483647 -830 -16000) 
,,,,,,,,,,,12.d3c4 (-1020 -1019 5 2147483544 -830 -1570) 
,,,,,,,,,,,12.d3d4 (-1020 -1019 5 2147483542 -830 -1061) 
,,,,,,,,,,,12.d3e2 (-1020 -1019 5 2147483541 -830 -1061) 
,,,,,,,,,,,12.d3e4 (-1020 -1019 5 310 -830 -1061) 
